C,rho,l0,lmax,J,n,seed,steps,seconds,valid,unique,valid_novel,viol,novel_rate,qed,run_name
0.0100503,0.6,3.05,12.0,2,4,4,64,841,61,61,58,0.049180327868852514,0.9508196721311475,0.4884265219786299,adual_iltd_C0.0100503_rho0.6_l03.05_lmax12.0_J2_n4_seed4_steps64
0.0100503,0.6,3.05,12.0,2,4,6,64,836,73,73,67,0.0821917808219178,0.9178082191780822,0.49125228363325496,adual_iltd_C0.0100503_rho0.6_l03.05_lmax12.0_J2_n4_seed6_steps64
0.0100503,0.6,3.05,12.0,2,4,7,64,841,73,73,69,0.0547945205479452,0.9452054794520548,0.4629207106491428,adual_iltd_C0.0100503_rho0.6_l03.05_lmax12.0_J2_n4_seed7_steps64
0.0100503,0.6,3.05,12.0,2,4,8,64,837,69,69,67,0.02898550724637683,0.9710144927536232,0.48966339934400827,adual_iltd_C0.0100503_rho0.6_l03.05_lmax12.0_J2_n4_seed8_steps64
0.0100503,0.6,3.0,12.0,2,4,4,64,841,64,64,60,0.0625,0.9375,0.4880439842308481,adual_iltd_C0.0100503_rho0.6_l03.0_lmax12.0_J2_n4_seed4_steps64
0.0100503,0.6,3.0,12.0,2,4,6,64,839,71,71,65,0.08450704225352113,0.9154929577464789,0.4900249186048482,adual_iltd_C0.0100503_rho0.6_l03.0_lmax12.0_J2_n4_seed6_steps64
0.0100503,0.6,3.0,12.0,2,4,5,64,844,67,67,65,0.02985074626865669,0.9701492537313433,0.46918506555934203,adual_iltd_C0.0100503_rho0.6_l03.0_lmax12.0_J2_n4_seed5_steps64
0.0100503,0.6,3.0,12.0,2,4,7,64,832,75,75,72,0.040000000000000036,0.96,0.4615222496734892,adual_iltd_C0.0100503_rho0.6_l03.0_lmax12.0_J2_n4_seed7_steps64
0.0100503,0.6,3.0,12.0,2,4,8,64,838,70,70,69,0.014285714285714235,0.9857142857142858,0.48451371435618057,adual_iltd_C0.0100503_rho0.6_l03.0_lmax12.0_J2_n4_seed8_steps64
0.0100503,0.6,2.8,12.0,2,4,8,64,837,70,70,69,0.014285714285714235,0.9857142857142858,0.4751207967991067,adual_iltd_C0.0100503_rho0.6_l02.8_lmax12.0_J2_n4_seed8_steps64
0.0100503,0.6,2.5,12.0,4,4,2,64,1097,75,75,74,0.013333333333333308,0.9866666666666667,0.48183147023631245,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J4_n4_seed2_steps64
0.0100503,0.6,2.5,12.0,4,4,3,64,1100,56,56,56,0.0,1.0,0.4940529408258656,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J4_n4_seed3_steps64
0.0100503,0.6,2.5,12.0,4,4,5,64,1100,75,75,71,0.053333333333333344,0.9466666666666667,0.47591471396055585,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J4_n4_seed5_steps64
0.0100503,0.6,2.5,12.0,4,4,4,64,1117,73,73,70,0.04109589041095896,0.958904109589041,0.4875686277988105,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J4_n4_seed4_steps64
0.0100503,0.6,2.5,12.0,4,4,7,64,1119,78,78,74,0.05128205128205132,0.9487179487179487,0.48063729402466615,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J4_n4_seed7_steps64
0.0100503,0.6,2.5,12.0,4,4,6,64,1128,72,72,69,0.04166666666666663,0.9583333333333334,0.48765075804217417,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J4_n4_seed6_steps64
0.0100503,0.6,2.4,12.0,4,4,3,64,1116,63,63,63,0.0,1.0,0.4877440766081103,adual_iltd_C0.0100503_rho0.6_l02.4_lmax12.0_J4_n4_seed3_steps64
0.0100503,0.6,2.5,12.0,4,4,8,64,1119,59,59,56,0.05084745762711862,0.9491525423728814,0.46489691929147153,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J4_n4_seed8_steps64
0.0100503,0.6,2.3,12.0,4,4,3,64,1098,63,63,63,0.0,1.0,0.491113095461141,adual_iltd_C0.0100503_rho0.6_l02.3_lmax12.0_J4_n4_seed3_steps64
0.0100503,0.6,2.35,12.0,4,4,3,64,1113,62,62,62,0.0,1.0,0.4914179173115157,adual_iltd_C0.0100503_rho0.6_l02.35_lmax12.0_J4_n4_seed3_steps64
0.0100503,0.6,2.4,12.0,4,4,1,64,1732,83,83,80,0.03614457831325302,0.963855421686747,0.4953064687122021,adual_iltd_C0.0100503_rho0.6_l02.4_lmax12.0_J4_n4_seed1_steps64
0.0100503,0.6,2.25,12.0,4,4,3,64,1739,66,66,66,0.0,1.0,0.49024918183967164,adual_iltd_C0.0100503_rho0.6_l02.25_lmax12.0_J4_n4_seed3_steps64
0.0100503,0.6,2.2,12.0,4,4,3,64,1741,63,63,63,0.0,1.0,0.48804428233031455,adual_iltd_C0.0100503_rho0.6_l02.2_lmax12.0_J4_n4_seed3_steps64
0.0100503,0.6,2.4,12.0,4,4,2,64,1738,75,75,74,0.013333333333333308,0.9866666666666667,0.4784920720465767,adual_iltd_C0.0100503_rho0.6_l02.4_lmax12.0_J4_n4_seed2_steps64
0.0100503,0.6,2.4,12.0,4,4,5,64,1076,84,84,81,0.0357142857142857,0.9642857142857143,0.47762076409072823,adual_iltd_C0.0100503_rho0.6_l02.4_lmax12.0_J4_n4_seed5_steps64
0.0100503,0.6,2.4,12.0,4,4,4,64,1096,71,71,67,0.05633802816901412,0.9436619718309859,0.4964675666396365,adual_iltd_C0.0100503_rho0.6_l02.4_lmax12.0_J4_n4_seed4_steps64
